step,L_total,L_pde,L_hen,L_bc,L_en,henry_rel_err,O2_surf_M,EN_p95,lr,grad_norm
0,1.8864489793777466,750.2325439453125,0.08779163658618927,4.9805999879026785e-05,11.267110824584961,0.007144461385905743,0.00026479456573724747,0.003664480522274971,9.999999753259892e-05,32.446170806884766
1,1.5948971509933472,750.442138671875,0.07707375288009644,4.972763417754322e-05,11.339990615844727,0.0033528879284858704,0.0002658057783264667,0.0036740340292453766,9.999999013039593e-05,112.69461822509766
2,0.33675751090049744,750.650146484375,0.03078734315931797,4.9652076995698735e-05,11.410637855529785,0.0004470880958251655,0.00026681923191063106,0.00368325412273407,9.999997779339173e-05,1023.7020263671875
3,1.1006211042404175,750.7059936523438,0.05889730155467987,4.9623831728240475e-05,11.438199043273926,0.001436640159226954,0.0002670831454452127,0.0036866702139377594,9.99999605215876e-05,361.26416015625
4,0.8780706524848938,750.6867065429688,0.0507110171020031,4.9619753553997725e-05,11.443814277648926,0.0010320020373910666,0.00026697522844187915,0.0036870883777737617,9.999993831498517e-05,519.1691284179688
5,-0.04759392514824867,750.622802734375,0.01664830930531025,4.963048195349984e-05,11.436051368713379,0.00019784494361374527,0.00026664722827263176,0.0036856546066701412,9.999991117358668e-05,1487.7413330078125
6,0.21665750443935394,750.6166381835938,0.026374205946922302,4.9624482926446944e-05,11.443947792053223,0.00035607724566943944,0.0002666050277184695,0.003686309792101383,9.99998790973948e-05,1160.515380859375
7,0.021820200607180595,750.65087890625,0.01920454017817974,4.9606671382207423e-05,11.462925910949707,0.00023964009596966207,0.0002667639055289328,0.0036884467117488384,9.99998420864127e-05,1393.46630859375
8,-0.3312973082065582,750.6436767578125,0.006208793725818396,4.9602305807638913e-05,11.46978759765625,6.787620077375323e-05,0.0002667180960997939,0.0036889021284878254,9.999980014064402e-05,1877.34716796875
9,0.6126675605773926,750.6050415039062,0.04095272719860077,4.960835576639511e-05,11.467316627502441,0.0006908749928697944,0.00026651573716662824,0.0036880597472190857,9.999975326009292e-05,746.0416259765625
10,0.6705210208892822,750.6036987304688,0.04308335855603218,4.9603055231273174e-05,11.475412368774414,0.0007541679078713059,0.00026649885694496334,0.003688644617795944,9.999970144476398e-05,693.0869140625
11,0.06409435719251633,750.6323852539062,0.02076323702931404,4.958867430104874e-05,11.491994857788086,0.0002600465959403664,0.0002666306390892714,0.003690373618155718,9.999964469466236e-05,1343.4794921875
12,0.6065718531608582,750.685302734375,0.040731776505708694,4.9567057430977e-05,11.515425682067871,0.0006898928550072014,0.0002668839879333973,0.0036930195055902004,9.999958300979366e-05,749.7095947265625
13,0.8614115118980408,750.7044067382812,0.05011330172419548,4.955621625413187e-05,11.529125213623047,0.0010076669277623296,0.0002669687382876873,0.003694318700581789,9.999951639016395e-05,531.251220703125
14,0.7016137838363647,750.6951293945312,0.044232286512851715,4.955427721142769e-05,11.534725189208984,0.0007959630456753075,0.00026691227685660124,0.003694497514516115,9.999944483577981e-05,663.7152099609375
15,-0.17518265545368195,750.6619873046875,0.011957556009292603,4.955991607857868e-05,11.533429145812988,0.00013760753790847957,0.00026673669344745576,0.0036937198601663113,9.99993683466483e-05,1653.3187255859375
16,0.7891688942909241,750.608154296875,0.047457292675971985,4.9572186981095e-05,11.526142120361328,0.0009001780999824405,0.0002664599160198122,0.0036921040154993534,9.999928692277696e-05,590.3397216796875
17,1.0683501958847046,750.585205078125,0.05773558095097542,4.9574860895518214e-05,11.527752876281738,0.0013622164260596037,0.0002663366904016584,0.0036917049437761307,9.999920056417385e-05,381.8899230957031
18,1.0517430305480957,750.5890502929688,0.05712544545531273,4.956911288900301e-05,11.537114143371582,0.001328605692833662,0.0002663456543814391,0.003692365251481533,9.999910927084749e-05,392.96826171875
19,0.7627049684524536,750.615966796875,0.04648616909980774,4.955614349455573e-05,11.553167343139648,0.0008656943682581186,0.00026646911283023655,0.003693940583616495,9.999901304280687e-05,612.2330932617188
20,-0.41895970702171326,750.6627807617188,0.0029851063154637814,4.9537069571670145e-05,11.574930191040039,2.9136568628018722e-05,0.0002666922227945179,0.0036962893791496754,9.99989118800615e-05,2012.85400390625
21,0.9418745040893555,750.7271118164062,0.05308428406715393,4.951291703036986e-05,11.601542472839355,0.0011347983963787556,0.0002670026442501694,0.0036992859095335007,9.999880578262136e-05,469.62640380859375
22,1.228332757949829,750.7622680664062,0.06363148242235184,4.949781941832043e-05,11.619834899902344,0.0017537595704197884,0.00026716772117652,0.003701138775795698,9.999869475049693e-05,282.3761291503906
23,1.275856852531433,750.7716064453125,0.06538257002830505,4.9490434321342036e-05,11.630942344665527,0.001893003936856985,0.0002672048576641828,0.0037020076997578144,9.999857878369916e-05,255.86378479003906
24,1.1736631393432617,750.758544921875,0.061621759086847305,4.9489772209199145e-05,11.635744094848633,0.001609604456461966,0.00026712927501648664,0.003702016081660986,9.99984578822395e-05,314.3365783691406
25,0.8237165212631226,750.7256469726562,0.04873916879296303,4.949516005581245e-05,11.634889602661133,0.0009538679732941091,0.00026695439009927213,0.003701250534504652,9.999833204612988e-05,560.3580932617188
26,-0.4159213900566101,750.6749267578125,0.003098722081631422,4.950609945808537e-05,11.628880500793457,3.0336952477227896e-05,0.00026669190265238285,0.003699773922562599,9.999820127538271e-05,2007.14453125
27,0.42338988184928894,750.6510009765625,0.034001968801021576,4.9509049858897924e-05,11.630367279052734,0.000512781785801053,0.00026656323461793363,0.003699319902807474,9.999806557001093e-05,930.7439575195312
28,0.46701645851135254,750.6509399414062,0.03560920059680939,4.950482616550289e-05,11.638558387756348,0.000550539290998131,0.0002665531646925956,0.003699786961078644,9.99979249300279e-05,885.8759765625
29,-0.0566154420375824,750.671875,0.01632956601679325,4.949425419908948e-05,11.652697563171387,0.00019326165784150362,0.00026664845063351095,0.0037010679952800274,9.99977793554475e-05,1495.9521484375
30,0.4212357997894287,750.7117919921875,0.033925220370292664,4.947815978084691e-05,11.672063827514648,0.0005158372805453837,0.0002668375673238188,0.0037030652165412903,9.999762884628413e-05,930.3219604492188
31,0.6734667420387268,750.7268676757812,0.043213628232479095,4.946991612087004e-05,11.684183120727539,0.0007637709495611489,0.0002669036912266165,0.0037040631286799908,9.999747340255259e-05,687.2308959960938
32,0.5156703591346741,750.719970703125,0.03740408271551132,4.946856643073261e-05,11.689881324768066,0.0006000823923386633,0.0002668600354809314,0.00370417395606637,9.999731302426829e-05,834.8739624023438
33,-0.3284442126750946,750.6934204101562,0.006322026252746582,4.9473412218503654e-05,11.689817428588867,6.918571307323873e-05,0.0002667184453457594,0.003703494556248188,9.999714771144701e-05,1869.021728515625
34,0.699871838092804,750.6494140625,0.04418858140707016,4.9483904149383307e-05,11.684516906738281,0.0007888698601163924,0.0002664896019268781,0.00370209151878953,9.999697746410508e-05,665.193603515625
35,0.9702926874160767,750.63037109375,0.054147399961948395,4.948666173731908e-05,11.686443328857422,0.0011773575097322464,0.0002663859922904521,0.0037016854621469975,9.99968022822593e-05,448.8960266113281
36,0.9520261287689209,750.6336669921875,0.05347578600049019,4.9482354370411485e-05,11.694890975952148,0.0011459292145445943,0.00026639437419362366,0.0037021837197244167,9.999662216592697e-05,462.11639404296875
37,0.6563355922698975,750.6572265625,0.042588043957948685,4.9471786041976884e-05,11.709162712097168,0.0007389993988908827,0.0002665029023773968,0.003703485708683729,9.999643711512586e-05,703.77197265625
38,-0.49238166213035583,750.6987915039062,0.00028671507607214153,4.945577893522568e-05,11.728557586669922,4.474154593481217e-06,0.00026670118677429855,0.0037055048160254955,9.999624712987422e-05,2116.832275390625
39,0.11483113467693329,750.716064453125,0.022648293524980545,4.9447531637270004e-05,11.740776062011719,0.000294857716653496,0.0002667786320671439,0.003706563264131546,9.999605221019082e-05,1274.020751953125
40,-0.0912301167845726,750.7116088867188,0.01506031397730112,4.944614920532331e-05,11.746612548828125,0.00017918444063980132,0.0002667477820068598,0.0037067271769046783,9.999585235609488e-05,1536.0269775390625
41,0.1306394636631012,750.6876220703125,0.023231549188494682,4.945091131958179e-05,11.746710777282715,0.0003005322359967977,0.000266619841568172,0.003706089686602354,9.999564756760615e-05,1258.296630859375
42,0.21633212268352509,750.6863403320312,0.026387903839349747,4.9448844947619364e-05,11.753246307373047,0.0003562954952940345,0.0002666049695108086,0.0037063509225845337,9.999543784474483e-05,1156.8603515625
43,-0.41213738918304443,750.705322265625,0.0032433157321065664,4.9440663133282214e-05,11.76555061340332,3.186471076332964e-05,0.00026669149519875646,0.0037074200809001923,9.99952231875316e-05,1998.953369140625
44,0.5504976511001587,750.742431640625,0.03869561851024628,4.942709711031057e-05,11.782975196838379,0.0006338022067211568,0.00026686902856454253,0.0037092012353241444,9.999500359598768e-05,800.2285766601562
45,0.751737654209137,750.7562255859375,0.046107593923807144,4.942074519931339e-05,11.793610572814941,0.0008584921015426517,0.00026692895335145295,0.0037100366316735744,9.999477907013472e-05,618.5068969726562
46,0.6029031276702881,750.7485961914062,0.040626928210258484,4.942076702718623e-05,11.798200607299805,0.0006869464414194226,0.00026688320212997496,0.0037100305780768394,9.999454960999486e-05,750.562744140625
47,-0.12928597629070282,750.7222290039062,0.013661720789968967,4.9426525947637856e-05,11.79733657836914,0.00016008743841666728,0.00026674268883652985,0.003709261305630207,9.99943152155908e-05,1586.460205078125
48,0.606774091720581,750.6787719726562,0.04077082499861717,4.943759267916903e-05,11.791479110717773,0.0006856369436718524,0.00026651713415049016,0.003707796335220337,9.999407588694566e-05,748.6226806640625
49,0.9079239964485168,750.6597290039062,0.05186278000473976,4.9441139708505943e-05,11.792667388916016,0.0010740153957158327,0.00026641355361789465,0.0037073218263685703,9.999383162408302e-05,494.3895263671875
50,0.8937892317771912,750.6624145507812,0.05134304612874985,4.943778913002461e-05,11.80025577545166,0.0010518628405407071,0.00026641946169547737,0.003707749303430319,9.999358242702702e-05,505.1008605957031
51,0.5829453468322754,750.68505859375,0.03989538922905922,4.942829764331691e-05,11.813572883605957,0.0006610836717300117,0.00026652368251234293,0.0037089753895998,9.999332829580225e-05,770.8080444335938
52,-0.3474806845188141,750.725341796875,0.005627593025565147,4.9413469241699204e-05,11.83194637298584,6.132866110419855e-05,0.0002667163498699665,0.0037109139375388622,9.99930692304338e-05,1894.8447265625
53,0.1864163875579834,750.7418823242188,0.025292163714766502,4.940599683322944e-05,11.843385696411133,0.00034069051616825163,0.00026679085567593575,0.003711882047355175,9.999280523094723e-05,1187.6126708984375
