z_m,O2_M,Fe2_M,Fe3_M,SO4_M,H_M,pH
4.7487435,3.0001388e-16,0.00025764987,6.91766e-05,0.0056827143,0.008145586,2.0890777
4.7738695,3.0001147e-16,0.00025520017,6.913995e-05,0.005676835,0.008142654,2.089234
4.798995,3.000095e-16,0.00025275553,6.910323e-05,0.0056709433,0.008139717,2.0893908
4.8241205,3.0000785e-16,0.00025031622,6.90665e-05,0.005665044,0.008136779,2.0895474
4.849246,3.000065e-16,0.0002478819,6.902973e-05,0.0056591392,0.008133834,2.0897048
4.874372,3.0000539e-16,0.00024545236,6.899293e-05,0.005653228,0.00813088,2.0898623
4.8994975,3.0000443e-16,0.00024302951,6.8956084e-05,0.005647307,0.008127927,2.0900202
4.924623,3.0000366e-16,0.00024061148,6.89192e-05,0.005641382,0.008124968,2.0901783
4.9497485,3.0000303e-16,0.00023819933,6.8882306e-05,0.005635448,0.008122001,2.090337
4.9748745,3.0000253e-16,0.0002357939,6.8845366e-05,0.0056295088,0.0081190355,2.0904956
5.0,3.000021e-16,0.00023339428,6.8808426e-05,0.005623559,0.008116064,2.0906546
