z_m,O2_M,Fe2_M,Fe3_M,SO4_M,H_M,pH
4.7738695,4.669975e-08,0.0003057056,7.109875e-05,0.0046590967,0.006642104,2.1776943
4.798995,4.667874e-08,0.00030566144,7.1099385e-05,0.004659296,0.006642168,2.1776903
4.8241205,4.6658176e-08,0.0003056176,7.1100025e-05,0.004659494,0.00664223,2.1776862
4.849246,4.6638068e-08,0.00030557404,7.110065e-05,0.004659692,0.0066422904,2.1776822
4.874372,4.661832e-08,0.00030553085,7.110128e-05,0.004659889,0.00664235,2.1776783
4.8994975,4.659895e-08,0.00030548792,7.11019e-05,0.0046600844,0.0066424077,2.1776745
4.924623,4.6580112e-08,0.0003054453,7.110253e-05,0.004660279,0.0066424636,2.1776707
4.9497485,4.65615e-08,0.00030540308,7.110314e-05,0.0046604723,0.0066425186,2.1776671
4.9748745,4.6543345e-08,0.00030536109,7.110376e-05,0.0046606646,0.0066425717,2.1776638
5.0,4.65256e-08,0.00030531944,7.110436e-05,0.0046608564,0.0066426247,2.1776602
